,name,syct,mmin,mmax,cach,chmin,chmax
1,ADVISOR 32/60,125,256,6000,256,16,128
2,AMDAHL 470V/7,29,8000,32000,32,8,32
3,AMDAHL 470/7A,29,8000,32000,32,8,32
4,AMDAHL 470V/7B,29,8000,32000,32,8,32
5,AMDAHL 470V/7C,29,8000,16000,32,8,16
6,AMDAHL 470V/8,26,8000,32000,64,8,32
7,AMDAHL 580-5840,23,16000,32000,64,16,32
8,AMDAHL 580-5850,23,16000,32000,64,16,32
9,AMDAHL 580-5860,23,16000,64000,64,16,32
10,AMDAHL 580 5880,23,32000,64000,128,32,64
11,APOLLO DN320,400,1000,3000,0,1,2
12,APOLLO DN420,400,512,3500,4,1,6
13,BASF 7/65,60,2000,8000,65,1,8
14,BASF 7/68,50,4000,16000,65,1,8
15,BTI 5000,350,64,64,0,1,4
16,BTI 8000,200,512,16000,0,4,32
17,BURROUGHS B1955,167,524,2000,8,4,15
18,BURROUGHS B2900,143,512,5000,0,7,32
19,BURROUGHS B2925,143,1000,2000,0,5,16
20,BURROUGHS B4955,110,5000,5000,142,8,64
21,BURROUGHS B5900,143,1500,6300,0,5,32
22,BURROUGHS B5920,143,3100,6200,0,5,20
23,BURROUGHS B6900,143,2300,6200,0,6,64
24,BURROUGHS B6925,110,3100,6200,0,6,64
25,C.R.D. 68/10-80,320,128,6000,0,1,12
26,C.R.D. UNIVERSE 2203T,320,512,2000,4,1,3
27,C.R.D. UNIVERSE 68,320,256,6000,0,1,6
28,C.R.D. UNIVERSE 68/05,320,256,3000,4,1,3
29,C.R.D. UNIVERSE 68/137,320,512,5000,4,1,5
30,C.R.D. UNIVERSE 68/37,320,256,5000,4,1,6
31,CDC CYBER 170/750,25,1310,2620,131,12,24
32,CDC CYBER 170/760,25,1310,2620,131,12,24
33,CDC CYBER 170/815,50,2620,10480,30,12,24
34,CDC CYBER 170/825,50,2620,10480,30,12,24
35,CDC CYBER 170/835,56,5240,20970,30,12,24
36,CDC CYBER 170/845,64,5240,20970,30,12,24
37,CDC OMEGA 480-I,50,500,2000,8,1,4
38,CDC OMEGA 480-II,50,1000,4000,8,1,5
39,CDC OMEGA 480-III,50,2000,8000,8,1,5
40,CAMBEX 1636-1,50,1000,4000,8,3,5
41,CAMBEX 1636-10,50,1000,8000,8,3,5
42,CAMBEX 1641-1,50,2000,16000,8,3,5
43,CAMBEX 1641-11,50,2000,16000,8,3,6
44,CAMBEX 1651-1,50,2000,16000,8,3,6
45,DEC DECSYS 10 1091,133,1000,12000,9,3,12
46,DEC DECSYS 20 2060,133,1000,8000,9,3,12
47,DEC MICROVAX-1,810,512,512,8,1,1
48,DEC VAX 11/730,810,1000,5000,0,1,1
49,DEC VAX 11/750,320,512,8000,4,1,5
50,DEC VAX 11/780,200,512,8000,8,1,8
51,DG ECLIPSE C/350,700,384,8000,0,1,1
52,DG ECLIPSE M/600,700,256,2000,0,1,1
53,DG ECLIPSE MV/1000,140,1000,16000,16,1,3
54,DG ECLIPSE MV/4000,200,1000,8000,0,1,2
55,DG ECLIPSE MV/6000,110,1000,4000,16,1,2
56,DG ECLIPSE MV/8000,110,1000,12000,16,1,2
57,DG ECLIPSE MV/8000 II,220,1000,8000,16,1,2
58,FORMATION F4000/100,800,256,8000,0,1,4
59,FORMATION F4000/200,800,256,8000,0,1,4
60,FORMATION F4000/200AP,800,256,8000,0,1,4
61,FORMATION F4000/300,800,256,8000,0,1,4
62,FORMATION F4000/300AP,800,256,8000,0,1,4
63,FOUR PHASE 2000/260,125,512,1000,0,8,20
64,GOULD CONCEPT 32/8705,75,2000,8000,64,1,38
65,GOULD CONCEPT 32/8750,75,2000,16000,64,1,38
66,GOULD CONCEPT 32/8780,75,2000,16000,128,1,38
67,HP 3000/30,90,256,1000,0,3,10
68,HP 3000/40,105,256,2000,0,3,10
69,HP 3000/44,105,1000,4000,0,3,24
70,HP 3000/48,105,2000,4000,8,3,19
71,HP 3000/64,75,2000,8000,8,3,24
72,HP 3000/88,75,3000,8000,8,3,48
73,HP 3000/III,175,256,2000,0,3,24
74,HARRIS 100,300,768,3000,0,6,24
75,HARRIS 300,300,768,3000,6,6,24
76,HARRIS 500,300,768,12000,6,6,24
77,HARRIS 600,300,768,4500,0,1,24
78,HARRIS 700,300,384,12000,6,1,24
79,HARRIS 80,300,192,768,6,6,24
80,HARRIS 800,180,768,12000,6,1,31
81,HONEYWELL DPS 6/35,330,1000,3000,0,2,4
82,HONEYWELL DPS 6/92,300,1000,4000,8,3,64
83,HONEYWELL DPS 6/96,300,1000,16000,8,2,112
84,HONEYWELL DPS 7/35,330,1000,2000,0,1,2
85,HONEYWELL DPS 7/45,330,1000,4000,0,3,6
86,HONEYWELL DPS 7/55,140,2000,4000,0,3,6
87,HONEYWELL DPS 7/65,140,2000,4000,0,4,8
88,HONEYWELL DPS 8/44,140,2000,4000,8,1,20
89,HONEYWELL DPS 8/49,140,2000,32000,32,1,20
90,HONEYWELL DPS 8/50,140,2000,8000,32,1,54
91,HONEYWELL DPS 8/52,140,2000,32000,32,1,54
92,HONEYWELL DPS 8/62,140,2000,32000,32,1,54
93,HONEYWELL DPS 8/20,140,2000,4000,8,1,20
94,IBM 3033 S,57,4000,16000,1,6,12
95,IBM 3033 U,57,4000,24000,64,12,16
96,IBM 3081,26,16000,32000,64,16,24
97,IBM 3081 D,26,16000,32000,64,8,24
98,IBM 3083 B,26,8000,32000,0,8,24
99,IBM 3083 E,26,8000,16000,0,8,16
100,IBM 370/125-2,480,96,512,0,1,1
101,IBM 370/148,203,1000,2000,0,1,5
102,IBM 370/158-3,115,512,6000,16,1,6
103,IBM 38/3,1100,512,1500,0,1,1
104,IBM 38/4,1100,768,2000,0,1,1
105,IBM 38/5,600,768,2000,0,1,1
106,IBM 38/7,400,2000,4000,0,1,1
107,IBM 38/8,400,4000,8000,0,1,1
108,IBM 4321,900,1000,1000,0,1,2
109,IBM 4331-1,900,512,1000,0,1,2
110,IBM 4331-11,900,1000,4000,4,1,2
111,IBM 4331-2,900,1000,4000,8,1,2
112,IBM 4341,900,2000,4000,0,3,6
113,IBM 4341-1,225,2000,4000,8,3,6
114,IBM 4341-10,225,2000,4000,8,3,6
115,IBM 4341-11,180,2000,8000,8,1,6
116,IBM 4341-12,185,2000,16000,16,1,6
117,IBM 4341-2,180,2000,16000,16,1,6
118,IBM 4341-9,225,1000,4000,2,3,6
119,IBM 4361-4,25,2000,12000,8,1,4
120,IBM 4361-5,25,2000,12000,16,3,5
121,IBM 4381-1,17,4000,16000,8,6,12
122,IBM 4381-2,17,4000,16000,32,6,12
123,IBM 8130 A,1500,768,1000,0,0,0
124,IBM 8130 B,1500,768,2000,0,0,0
125,IBM 8140,800,768,2000,0,0,0
126,IPL 4436,50,2000,4000,0,3,6
127,IPL 4443,50,2000,8000,8,3,6
128,IPL 4445,50,2000,8000,8,1,6
129,IPL 4446,50,2000,16000,24,1,6
130,IPL 4460,50,2000,16000,24,1,6
131,IPL 4480,50,8000,16000,48,1,10
132,MAGNUSON M80/30,100,1000,8000,0,2,6
133,MAGNUSON M80/31,100,1000,8000,24,2,6
134,MAGNUSON M80/32,100,1000,8000,24,3,6
135,MAGNUSON M80/42,50,2000,16000,12,3,16
136,MAGNUSON M80/43,50,2000,16000,24,6,16
137,MAGNUSON M80/44,50,2000,16000,24,6,16
138,MICRODATA SEQ.MS/3200,150,512,4000,0,8,128
139,NAS AS/3000,115,2000,8000,16,1,3
140,NAS AS/3000 N,115,2000,4000,2,1,5
141,NAS AS/5000,92,2000,8000,32,1,6
142,NAS AS/5000 E,92,2000,8000,32,1,6
143,NAS AS/5000 N,92,2000,8000,4,1,6
144,NAS AS/6130,75,4000,16000,16,1,6
145,NAS AS/6150,60,4000,16000,32,1,6
146,NAS AS/6620,60,2000,16000,64,5,8
147,NAS AS/6630,60,4000,16000,64,5,8
148,NAS AS/6650,50,4000,16000,64,5,10
149,NAS AS/7000,72,4000,16000,64,8,16
150,NAS AS/7000 N,72,2000,8000,16,6,8
151,NAS AS/8040,40,8000,16000,32,8,16
152,NAS AS/8050,40,8000,32000,64,8,24
153,NAS AS/8060,35,8000,32000,64,8,24
154,NAS AS/9000 DPC,38,16000,32000,128,16,32
155,NAS AS/9000 N,48,4000,24000,32,8,24
156,NAS AS/9040,38,8000,32000,64,8,24
157,NAS AS/9060,30,16000,32000,256,16,24
158,NCR V8535 II,112,1000,1000,0,1,4
159,NCR V8545 II,84,1000,2000,0,1,6
160,NCR V8555 II,56,1000,4000,0,1,6
161,NCR V8565 II,56,2000,6000,0,1,8
162,NCR V8565 II E,56,2000,8000,0,1,8
163,NCR V8575 II,56,4000,8000,0,1,8
164,NCR V8585 II,56,4000,12000,0,1,8
165,NCR V8595 II,56,4000,16000,0,1,8
166,NCR V8635 ,38,4000,8000,32,16,32
167,NCR V8650,38,4000,8000,32,16,32
168,NCR V8635,38,8000,16000,64,4,8
169,NCR V8665,38,8000,24000,160,4,8
170,NCR V8670,38,4000,16000,128,16,32
171,NIXDORF 8890/30,200,1000,2000,0,1,2
172,NIXDORF 8890/50,200,1000,4000,0,1,4
173,NIXDORF 8890/70,200,2000,8000,64,1,5
174,PERKIN-ELMER 3205,250,512,4000,0,1,7
175,PERKIN-ELMER 3210,250,512,4000,0,4,7
176,PERKIN-ELMER 3230,250,1000,16000,1,1,8
177,PRIME 50-2250,160,512,4000,2,1,5
178,PRIME 50-250 II,160,512,2000,2,3,8
179,PRIME 50-550 II,160,1000,4000,8,1,14
180,PRIME 50-750 II,160,1000,8000,16,1,14
181,PRIME 50-850 II,160,2000,8000,32,1,13
182,SIEMENS 7.521,240,512,1000,8,1,3
183,SIEMENS 7.531,240,512,2000,8,1,5
184,SIEMENS 7.536,105,2000,4000,8,3,8
185,SIEMENS 7.541,105,2000,6000,16,6,16
186,SIEMENS 7.551,105,2000,8000,16,4,14
187,SIEMENS 7.561,52,4000,16000,32,4,12
188,SIEMENS 7.865-2,70,4000,12000,8,6,8
189,SIEMENS 7.870-2,59,4000,12000,32,6,12
190,SIEMENS 7.872-2,59,8000,16000,64,12,24
191,SIEMENS 7.875-2,26,8000,24000,32,8,16
192,SIEMENS 7.880-2,26,8000,32000,64,12,16
193,SIEMENS 7.881-2,26,8000,32000,128,24,32
194,SPERRY 1100/61 H1,116,2000,8000,32,5,28
195,SPERRY 1100/81,50,2000,32000,24,6,26
196,SPERRY 1100/82,50,2000,32000,48,26,52
197,SPERRY 1100/83,50,2000,32000,112,52,104
198,SPERRY 1100/84,50,4000,32000,112,52,104
199,SPERRY 1100/93,30,8000,64000,96,12,176
200,SPERRY 1100/94,30,8000,64000,128,12,176
201,SPERRY 80/3,180,262,4000,0,1,3
202,SPERRY 80/4,180,512,4000,0,1,3
203,SPERRY 80/5,180,262,4000,0,1,3
204,SPERRY 80/6,180,512,4000,0,1,3
205,SPERRY 80/8,124,1000,8000,0,1,8
206,SPERRY 90/80 MODEL 3,98,1000,8000,32,2,8
207,STRATUS 32,125,2000,8000,0,2,14
208,WANG VS10,480,512,8000,32,0,0
209,WANG VS 90,480,1000,4000,0,0,0
